cityid_ppn,city,state_code,country_code,remove tag
800000000,Cooper Landing,AK,US,
800000001,Denali National Park,AK,US,
800000002,Dillingham,AK,US,
800000003,E Mncplty Of Anchorage,AK,US,
800000004,Eagle River,AK,US,
800000005,Kasilof,AK,US,
800000006,Palmer,AK,US,
800000007,Abbeville,AL,US,
800000008,Alabaster,AL,US,
800000009,Arab,AL,US,
800000010,Bay Minette,AL,US,
800000011,Boaz,AL,US,
800000013,Brilliant,AL,US,
800000014,Camden,AL,US,
800000015,Cedar Bluff,AL,US,
800000016,Centre,AL,US,
800000017,Childersburg,AL,US,
800000018,Cottondale,AL,US,
800000020,Daleville,AL,US,
800000021,Demopolis,AL,US,
800000022,Double Springs,AL,US,
800000023,Eight Mile,AL,US,
800000024,Elkmont,AL,US,
800000025,Eutaw,AL,US,
800000026,Eva,AL,US,
800000027,Evergreen,AL,US,
800000029,Gordo,AL,US,
800000030,Haleyville,AL,US,
800000031,Hanceville,AL,US,
800000032,Hartselle,AL,US,
800000033,Lincoln,AL,US,
800000034,Livingston,AL,US,
800000035,Millbrook,AL,US,
800000036,Moody,AL,US,
800000037,Moulton,AL,US,
800000038,Northport,AL,US,
800000039,Oneonta,AL,US,
800000040,Owens Cross Roads,AL,US,
800000041,Rainbow City,AL,US,
800000042,Rainsville,AL,US,
800000043,Riverside,AL,US,
800000045,Russellville,AL,US,
800000046,Satsuma,AL,US,
800000047,Sheffield,AL,US,
800000048,Theodore,AL,US,
800000049,Trinity,AL,US,
800000050,Wetumpka,AL,US,
800000051,Ashdown,AR,US,
800000052,Beebe,AR,US,
800000053,Bella Vista,AR,US,
800000054,Cabot,AR,US,
800000055,Camden,AR,US,
800000056,Cherokee Village,AR,US,
800000057,Clinton,AR,US,
800000058,Cotter,AR,US,
800000060,Dumas,AR,US,
800000061,Fairfield Bay,AR,US,
800000062,Fordyce,AR,US,
800000063,Garfield,AR,US,
800000064,Glenwood,AR,US,
800000065,Greenbrier,AR,US,
800000066,Heber Springs,AR,US,
800000067,Henderson,AR,US,
800000068,Heth,AR,US,
800000069,Hot Springs Village,AR,US,
800000070,Lake Village,AR,US,
800000071,Lowell,AR,US,
800000072,Mabelvale,AR,US,
800000073,Magnolia,AR,US,
800000074,Mammoth Spring,AR,US,
800000075,Mc Gehee,AR,US,
800000076,Morrilton,AR,US,
800000077,Osceola,AR,US,
800000078,Sherwood,AR,US,
800000079,Smackover,AR,US,
800000080,Star City,AR,US,
800000081,Stuttgart,AR,US,
800000083,West Helena,AR,US,
800000085,Wynne,AR,US,
800000086,Amado,AZ,US,
800000087,Buckeye,AZ,US,
800000088,Chambers,AZ,US,
800000089,Cibola,AZ,US,
800000090,Coolidge,AZ,US,
800000091,Douglas,AZ,US,
800000092,Fort Huachuca,AZ,US,
800000093,Fort McDowell,AZ,US,
800000094,Ganado,AZ,US,
800000095,Heber,AZ,US,
800000096,Higley,AZ,US,
800000097,Lakeside,AZ,US,
800000098,Marble Canyon,AZ,US,
800000099,Oracle,AZ,US,
800000100,Parker,AZ,US,
800000101,Peach Springs,AZ,US,
800000102,Peridot,AZ,US,
800000104,Sacaton,AZ,US,
800000105,Safford,AZ,US,
800000106,Saint Johns,AZ,US,
800000107,Snowflake,AZ,US,
800000109,Sun City,AZ,US,
800000110,Thatcher,AZ,US,
800000111,Tuba City,AZ,US,
800000112,Wellton,AZ,US,
800000113,Willcox,AZ,US,
800000114,Acton,CA,US,
800000115,Adelanto,CA,US,
800000116,Alhambra,CA,US,
800000117,Alviso,CA,US,
800000118,Aptos,CA,US,
800000119,Aromas,CA,US,
800000120,Atherton,CA,US,
800000121,Atwater,CA,US,
800000122,Bloomington,CA,US,
800000123,Bonita,CA,US,
800000124,Borrego Springs,CA,US,
800000125,Boulder Creek,CA,US,
800000126,Bridgeport,CA,US,
800000127,Cabazon,CA,US,
800000128,Canyon Country,CA,US,
800000129,Capistrano Beach,CA,US,
800000130,Citrus Heights,CA,US,
800000131,Clayton,CA,US,
800000132,Clio,CA,US,
800000133,Compton,CA,US,
800000134,Copperopolis,CA,US,
800000135,Cotati,CA,US,
800000136,Covina,CA,US,
800000137,Crockett,CA,US,
800000138,East Tulare County,CA,US,
800000139,Encino,CA,US,
800000140,Escalon,CA,US,
800000141,Exeter,CA,US,
800000142,Fillmore,CA,US,
800000143,Firebaugh,CA,US,
800000144,Frazier Park,CA,US,
800000145,Freedom,CA,US,
800000146,Geyserville,CA,US,
800000147,Heber,CA,US,
800000148,Inverness,CA,US,
800000149,Jackson,CA,US,
800000150,Jamul,CA,US,
800000151,Joshua Tree,CA,US,
800000152,June Lake,CA,US,
800000153,Kenwood,CA,US,
800000154,Kettleman City,CA,US,
800000155,Klamath,CA,US,
800000156,Kyburz,CA,US,
800000157,La Palma,CA,US,
800000158,Laguna Niguel,CA,US,
800000159,Lake Isabella,CA,US,
800000160,Lakeside,CA,US,
800000161,Lakewood,CA,US,
800000162,Lebec,CA,US,
800000163,Lee Vining,CA,US,
800000164,Lemon Cove,CA,US,
800000166,Littleriver,CA,US,
800000167,Live Oak,CA,US,
800000168,Lockeford,CA,US,
800000169,Long Barn,CA,US,
800000170,Los Altos,CA,US,
800000171,Los Olivos,CA,US,
800000172,Lost Hills,CA,US,
800000173,Magalia,CA,US,
800000174,Markleeville,CA,US,
800000175,Mccloud,CA,US,
800000176,Mendota,CA,US,
800000177,Mentone,CA,US,
800000179,Mokelumne Hill,CA,US,
800000180,Moorpark,CA,US,
800000181,Murrieta,CA,US,
800000182,Newberry Springs,CA,US,
800000183,Newhall,CA,US,
800000184,Newport Coast,CA,US,
800000186,Nipomo,CA,US,
800000187,Northridge,CA,US,
800000188,Occidental,CA,US,
800000189,Orosi,CA,US,
800000190,Patterson,CA,US,
800000191,Pauma Valley,CA,US,
800000192,Pebble Beach,CA,US,
800000193,Pescadero,CA,US,
800000194,Pine Valley,CA,US,
800000195,Point Reyes Station,CA,US,
800000196,Quincy,CA,US,
800000197,Rancho Santa Margarita,CA,US,
800000198,Rio Vista,CA,US,
800000199,Riverbank,CA,US,
800000200,Rosamond,CA,US,
800000201,San Fernando,CA,US,
800000202,San Jacinto,CA,US,
800000203,San Juan Bautista,CA,US,
800000204,San Marino,CA,US,
800000205,San Martin,CA,US,
800000206,Santa Clarita,CA,US,
800000207,Scotts Valley,CA,US,
800000208,Shafter,CA,US,
800000209,Shingle Springs,CA,US,
800000210,Soquel,CA,US,
800000211,Stinson Beach,CA,US,
800000212,Sunland,CA,US,
800000213,Sutter Creek,CA,US,
800000214,Temple City,CA,US,
800000215,Templeton,CA,US,
800000216,Thousand Palms,CA,US,
800000217,Topanga,CA,US,
800000218,Topaz,CA,US,
800000219,Tustin,CA,US,
