iata,airport,cityid_ppn,state_code,country_code
AAA,Anaa Airport,800541079,,PF
AAC,Al Arish Airport,800041253,,EG
AAE,Rabah Bitat Airport,800240089,,DZ
AAL,Aalborg Airport,800100421,,DK
AAM,Mala Mala Airport,800078433,,ZA
AAN,Al Ain Airport,800035333,,AE
AAQ,Anapa Airport,800014416,,RU
AAR,Aarhus Airport,800092592,,DK
AAS,Apalapsili,,KY,US
AAT,Altay Airport,800175463,,CN
AAU,Asau Airport,800058374,,WS
AAX,Araxa Airport,800036344,,BR
AAY,Al Ghaydah Airport,800161558,,YE
ABA,Abakan Intl Airport,800072411,,RU
ABC,Albacete Airport,800041127,,ES
ABD,Abadan Airport,800152039,,IR
ABE,Lehigh Valley Intl Airport,800050046,PA,US
ABI,Abilene Regional Airport,800050452,TX,US
ABJ,Felix H Boigny Airport,800099007,,CI
ABK,Kabri Dar Airport,800537142,,ET
ABL,Ambler Airport,800108482,AK,US
ABM,Northern Peninsula Airport,800562320,QL,AU
ABQ,Albuquerque Intl Sunport Airport,800049290,NM,US
ABR,Aberdeen Regional Airport,800050332,SD,US
ABS,Abu Simbel Airport,800041255,,EG
ABT,Al-Aqiq Airport,800014117,,SA
ABV,Abuja Intl Airport,800566783,,NG
ABX,Albury Airport,800027386,,AU
ABY,Southwest Georgia Regional Airport,800047547,GA,US
ABZ,Dyce Airport,800017514,,UK
ACA,Gen Juan N. Alvarez Intl Airport,800026890,,MX
ACB,Antrim County,,MI,US
ACC,Kotoka Airport,800079250,,GH
ACE,Lanzarote (Arrecife) Airport,800038785,,ES
ACH,St. Gallen-Altenrhein Airport,800006415,,CH
ACI,Alderney Airport,800132677,,UK
ACJ,Anuradhapura,,GA,US
ACK,Nantucket Memorial Airport,800048480,MA,US
ACQ,Waseca Municipal,,MN,US
ACR,Araracuara Airport,800238367,,CO
ACT,Waco Regional Airport,800050735,TX,US
ACU,Achutupo Airport,800541045,,PA
ACV,Arcata - Eureka Airport,800046754,CA,US
ACX,Xingyi Airport,800074931,,CN
ACY,Atlantic City Intl Airport,800052822,NJ,US
ADA,Adana Airport,800549979,,TR
ADB,Adnan Menderes Airport,800035576,,TR
ADC,Andakombe,,MN,US
ADD,Bole Intl Airport,800013582,,ET
ADE,Aden Intl Airport,800516083,,YE
ADF,Adiyaman Airport,800035573,,TR
ADG,Lenawee County,,MI,US
ADJ,Amman Civil Airport,800033737,,JO
ADK,Adak Island Airport,800108474,AK,US
ADL,Adelaide Airport,800027389,,AU
ADM,Ardmore Municipal,,OK,US
ADP,Anuradhapura,,,LK
ADQ,Kodiak Airport,800046478,AK,US
ADS,Addison Airport,800050453,TX,US
ADW,Andrews Air Force Base,,MD,US
ADX,RAF Leuchars,,,UK
ADZ,San Andres Airport,800549980,,CO
AEB,Baise Youjiang Airport,800172317,,CN
AED,Aleneva Airport,800132637,AK,US
AEG,Aek Godang Airport,800541028,,ID
AEL,Albert Lea Municipal,,IA,US
AEP,Jorge Newbery Airport,800033713,,AR
AER,Sochi Airport,800014200,,RU
AES,Alesund Airport Vigra,800546739,,NO
AET,Allakaket Airport,800108481,AK,US
AEX,Alexandria Intl Airport,800048227,LA,US
AEY,Akureyri Airport,800015083,,IS
AFA,San Rafael Airport,800033572,,AR
AFD,Port Alfred,,,ZA
AFF,United States Air Force Academy Airfield,,CO,US
AFJ,Washington County,,PA,US
AFK,Nebraska City Municipal,,NE,US
AFL,Piloto Oswaldo Marques Dias Airport,800224591,,BR
AFN,Jaffrey - Silver Ranch Airpark,,NH,US
