cityid_ppn,cityid_a,cityid_b,cityid_t,city,state,country,state_code,country_code,latitude,longitude,hotel_count,mod_date_time
800000000,,,3000000039,Cooper Landing,Alaska,United States,AK,US,60.49,-149.834,1,5/4/17 17:49
800000004,99895,20005128,3000000051,Eagle River,Alaska,United States,AK,US,61.3154,-149.5613,1,5/4/17 17:49
800000005,514296,20005264,3000000090,Kasilof,Alaska,United States,AK,US,60.3375,-151.274,4,5/4/17 17:49
800000008,103853,20000038,3000000209,Alabaster,Alabama,United States,AL,US,33.2442,-86.8164,2,5/4/17 17:49
800000009,99547,20000105,3000000221,Arab,Alabama,United States,AL,US,34.3181,-86.4958,1,5/4/17 17:49
800000011,,20000433,3000000250,Boaz,Alabama,United States,AL,US,34.2006,-86.1664,2,5/4/17 17:49
800000016,99746,,3000000279,Centre,Alabama,United States,AL,US,34.1519,-85.6789,1,5/4/17 17:49
800000017,,20000835,3000000285,Childersburg,Alabama,United States,AL,US,33.2781,-86.355,2,5/4/17 17:49
800000018,,20001013,3000000302,Cottondale,Alabama,United States,AL,US,33.1894,-87.4517,2,5/4/17 17:49
800000020,99847,,3000000315,Daleville,Alabama,United States,AL,US,31.31,-85.7131,1,5/4/17 17:49
800000021,22740,20001173,3000000325,Demopolis,Alabama,United States,AL,US,32.5175,-87.8364,5,5/4/17 17:49
800000023,22636,,3000000339,Eight Mile,Alabama,United States,AL,US,30.7633,-88.1269,2,5/4/17 17:49
800000024,514371,,3000000343,Elkmont,Alabama,United States,AL,US,34.9289,-86.9739,1,5/4/17 17:49
800000025,99947,20001413,3000000354,Eutaw,Alabama,United States,AL,US,32.8406,-87.8875,2,5/4/17 17:49
800000027,99951,20001418,3000000356,Evergreen,Alabama,United States,AL,US,31.4333,-86.9569,4,5/4/17 17:49
800000031,100084,,3000000418,Hanceville,Alabama,United States,AL,US,34.0606,-86.7675,1,5/4/17 17:49
800000032,23416,20001926,3000000422,Hartselle,Alabama,United States,AL,US,34.4433,-86.9353,2,5/4/17 17:49
800000033,100291,20002504,3000000477,Lincoln,Alabama,United States,AL,US,33.6131,-86.1183,3,5/4/17 17:49
800000034,,20002542,3000000482,Livingston,Alabama,United States,AL,US,32.5842,-88.1872,1,5/4/17 17:49
800000035,100415,20002846,3000000506,Millbrook,Alabama,United States,AL,US,32.4797,-86.3619,3,5/4/17 17:49
800000036,,20002909,3000000515,Moody,Alabama,United States,AL,US,33.5908,-86.4908,3,5/4/17 17:49
800000037,,20002953,3000000518,Moulton,Alabama,United States,AL,US,34.4811,-87.2933,1,5/4/17 17:49
800000038,100515,20003176,3000000536,Northport,Alabama,United States,AL,US,33.2289,-87.5772,3,5/4/17 17:49
800000039,514213,,3000000541,Oneonta,Alabama,United States,AL,US,33.9481,-86.4728,1,5/4/17 17:49
800000040,,,3000000546,Owens Cross Roads,Alabama,United States,AL,US,34.5881,-86.4589,1,5/4/17 17:49
800000042,,20003685,3000000573,Rainsville,Alabama,United States,AL,US,34.4942,-85.8478,1,5/4/17 17:49
